idAtleta,idDeporte,fecha,m1,m2,m5,m10,m20,m30,m60,m120,m300,m600,m1200,m1800,m3600,m7200,m18000,lastAct,duration
209,2,20/02/2025,455,447,424,397,368,352,313,238,221,202,197,188,181,0,0,2025-02-20 14:42:59.020,5633
209,2,22/02/2025,433,433,414,371,297,280,257,236,233,188,182,174,168,158,0,2025-02-22 09:57:38.047,8410
209,2,25/02/2025,362,356,337,325,314,313,272,266,257,254,230,236,186,162,0,2025-02-25 21:45:15.993,7206
209,2,27/02/2025,317,301,288,272,249,241,225,218,205,190,175,165,159,143,0,2025-02-27 15:28:38.223,7202
209,2,01/03/2025,445,441,437,413,368,340,333,315,274,254,233,211,199,162,0,2025-03-01 11:47:14.207,12602
209,2,02/03/2025,314,310,288,269,255,251,210,199,187,178,156,133,0,0,0,2025-03-02 10:19:14.743,1803
209,2,04/03/2025,432,424,369,338,316,292,252,205,179,162,149,142,137,125,90,2025-03-04 19:59:48.213,18048
209,2,06/03/2025,339,332,321,318,299,290,261,230,214,201,187,182,150,0,0,2025-03-06 21:30:45.907,5402
209,2,08/03/2025,316,306,287,276,259,253,242,237,228,224,210,188,185,169,0,2025-03-08 15:32:10.683,13213
209,2,11/03/2025,438,433,398,385,345,320,291,279,272,264,254,225,179,143,0,2025-03-11 15:16:51.177,7201
209,2,13/03/2025,274,270,265,259,258,256,249,237,219,198,195,192,180,0,0,2025-03-13 21:17:09.630,5402
209,2,15/03/2025,867,580,380,330,294,287,272,244,236,231,225,193,191,165,124,2025-03-15 13:20:50.937,15635
209,2,20/03/2025,396,391,386,373,342,311,276,271,264,260,217,216,192,145,0,2025-03-20 17:45:15.453,7246
209,2,22/03/2025,479,479,444,412,301,290,257,247,235,221,218,206,197,179,0,2025-03-22 19:46:16.110,14696
209,2,25/03/2025,327,327,315,305,287,271,256,248,245,243,230,210,195,0,0,2025-03-25 14:24:43.717,5454
209,2,27/03/2025,507,499,454,396,311,275,255,222,209,208,200,197,185,0,0,2025-03-27 15:38:36.127,4203
209,2,29/03/2025,452,433,388,332,299,279,254,235,227,221,219,218,201,176,0,2025-03-29 14:56:04.453,8674
209,2,01/04/2025,456,456,402,351,314,304,289,286,241,238,229,199,165,0,0,2025-04-01 14:07:29.257,3754
209,2,03/04/2025,419,419,357,339,319,311,297,226,203,192,180,173,162,0,0,2025-04-03 13:24:03.280,3621
209,2,05/04/2025,561,542,500,495,455,363,212,134,82,56,28,30,0,0,0,2025-04-05 13:44:52.190,963
209,2,06/04/2025,473,468,431,396,325,298,277,247,231,221,218,215,209,203,0,2025-04-06 22:09:21.937,8589
209,2,08/04/2025,286,241,223,218,208,203,194,184,171,166,163,161,154,0,0,2025-04-08 14:15:55.873,5402
209,2,10/04/2025,369,357,328,308,294,286,264,242,206,201,190,188,161,0,0,2025-04-10 14:12:44.390,5402
209,2,12/04/2025,491,484,432,345,304,278,262,246,230,192,185,171,158,148,0,2025-04-12 17:55:04.867,14291
209,2,15/04/2025,426,403,367,337,313,304,285,276,268,261,231,228,205,0,0,2025-04-15 15:39:56.797,7083
209,2,17/04/2025,462,428,408,385,354,341,321,269,216,209,184,179,158,138,0,2025-04-17 16:35:34.190,7208
209,2,19/04/2025,473,468,464,396,326,284,269,255,238,231,208,195,192,154,0,2025-04-19 14:23:27.610,14829
209,2,22/04/2025,497,474,412,368,327,320,302,276,267,264,259,234,205,187,0,2025-04-22 15:21:04.790,8211
209,2,24/04/2025,573,568,524,510,493,469,408,254,239,203,185,167,143,0,0,2025-04-24 15:58:01.930,5894
209,2,26/04/2025,396,361,351,323,274,267,243,234,230,221,216,200,189,170,0,2025-04-26 13:29:06.387,16421
209,2,29/04/2025,429,429,399,363,324,309,290,273,267,260,237,222,208,162,0,2025-04-29 16:26:34.730,7591
209,2,01/05/2025,324,311,295,271,253,240,210,193,179,172,159,154,139,0,0,2025-05-01 18:58:33.170,6471
209,2,03/05/2025,478,477,387,339,296,283,255,237,227,224,214,196,190,179,161,2025-05-03 14:59:23.487,19027
209,2,06/05/2025,387,383,325,294,282,273,263,257,239,208,204,202,181,0,0,2025-05-06 14:47:25.673,5407
209,2,08/05/2025,358,347,314,292,267,261,241,224,190,172,169,165,153,0,0,2025-05-08 21:09:54.200,6229
209,2,10/05/2025,456,449,398,361,330,312,266,236,229,215,212,203,191,181,161,2025-05-10 15:31:46.767,19117
209,2,13/05/2025,473,470,450,399,345,322,298,285,267,235,220,214,185,0,0,2025-05-13 14:39:35.580,5647
209,2,15/05/2025,366,365,265,214,187,177,167,160,147,144,129,125,117,0,0,2025-05-15 14:05:41.387,3602
209,2,17/05/2025,425,421,380,349,315,298,270,242,227,223,220,214,190,181,0,2025-05-17 13:35:53.457,14768
209,2,20/05/2025,481,470,425,414,364,325,296,285,280,237,227,220,210,0,0,2025-05-20 14:56:48.460,4214
209,2,22/05/2025,275,255,219,202,183,176,172,169,164,156,155,153,141,0,0,2025-05-22 13:24:06.517,4201
209,2,24/05/2025,844,548,334,313,295,277,246,225,217,210,204,203,200,193,0,2025-05-24 12:42:37.210,12380
209,2,27/05/2025,377,350,341,317,294,290,277,259,215,206,201,182,161,0,0,2025-05-27 17:46:05.133,4804
209,2,29/05/2025,479,469,445,410,383,354,331,241,218,194,137,123,0,0,0,2025-05-29 12:45:21.043,2202
209,2,01/06/2025,471,468,441,412,340,310,268,240,215,201,191,189,186,181,176,2025-06-01 19:12:10.737,18966
209,2,07/06/2025,344,344,327,319,299,281,256,225,199,189,170,153,141,0,0,2025-06-07 11:21:23.133,6055
209,2,10/06/2025,319,316,305,283,277,260,241,236,225,208,200,186,162,0,0,2025-06-10 14:36:05.597,3602
209,2,12/06/2025,441,424,395,364,356,336,304,205,214,196,157,148,137,0,0,2025-06-12 14:17:23.943,3602
209,2,14/06/2025,337,325,317,305,277,275,261,231,224,192,181,176,173,0,0,2025-06-14 10:35:15.833,5403
209,2,17/06/2025,2019,1074,509,321,310,298,272,259,245,220,210,205,180,0,0,2025-06-17 15:14:40.357,6008
209,2,19/06/2025,386,378,364,345,329,329,298,277,224,216,195,177,143,0,0,2025-06-19 15:19:19.017,6002
209,2,21/06/2025,625,625,568,438,386,370,287,248,228,223,194,190,144,104,0,2025-06-21 12:43:56.347,7372
209,2,24/06/2025,364,355,320,298,277,279,259,255,239,201,193,187,176,0,0,2025-06-24 14:43:46.597,6007
209,2,26/06/2025,378,368,345,333,329,323,309,283,228,210,189,171,155,0,0,2025-06-26 20:04:42.657,6002
209,2,28/06/2025,232,208,201,181,172,173,162,159,149,141,137,133,124,119,0,2025-06-28 17:28:01.983,7203
209,2,01/07/2025,327,319,309,286,269,261,255,250,236,213,202,199,193,0,0,2025-07-01 20:48:33.407,6002
209,2,03/07/2025,346,341,306,298,282,278,275,272,220,204,201,167,146,0,0,2025-07-03 20:50:13.617,6002
209,2,05/07/2025,297,285,269,260,252,249,233,228,222,213,212,202,190,180,0,2025-07-05 11:42:10.590,8645
209,2,08/07/2025,425,398,361,337,324,310,307,300,285,236,231,226,207,0,0,2025-07-08 14:41:42.927,6110
209,2,10/07/2025,417,395,356,332,311,301,294,293,243,223,212,196,179,138,0,2025-07-10 21:34:39.873,7201
209,2,12/07/2025,483,469,437,405,305,258,209,199,190,172,163,157,149,132,0,2025-07-12 11:37:30.700,7249
209,2,13/07/2025,373,371,357,338,306,273,235,230,210,202,196,190,166,0,0,2025-07-13 10:30:45.127,3684
209,2,15/07/2025,517,512,477,454,363,313,279,272,265,220,213,208,190,162,0,2025-07-15 15:24:18.443,7203
209,2,17/07/2025,251,244,234,214,179,167,162,150,145,139,135,132,125,0,0,2025-07-17 21:20:25.760,5403
209,2,19/07/2025,550,547,522,502,438,406,318,274,236,214,205,195,182,138,0,2025-07-19 14:09:56.017,12301
209,2,22/07/2025,382,363,352,328,317,313,306,289,276,237,225,221,200,184,0,2025-07-22 15:20:29.667,7220
209,2,24/07/2025,248,246,243,229,184,168,158,153,139,136,130,128,122,0,0,2025-07-24 21:05:02.227,5401
209,2,26/07/2025,334,314,298,260,219,202,188,179,162,156,148,145,133,126,0,2025-07-26 13:44:37.917,12311
209,2,29/07/2025,439,430,402,341,299,292,271,254,252,247,222,221,195,161,0,2025-07-29 15:20:21.110,7273
209,2,31/07/2025,410,395,350,321,312,308,299,295,227,210,177,161,156,0,0,2025-07-31 21:01:06.710,6655
209,2,02/08/2025,542,532,468,373,291,283,247,240,233,225,220,214,188,173,0,2025-08-02 16:45:32.880,9452
209,2,05/08/2025,467,446,398,348,312,289,268,256,249,245,223,220,196,177,0,2025-08-05 15:18:23.337,7336
209,2,07/08/2025,404,384,364,352,347,343,334,311,238,223,210,179,164,140,0,2025-08-07 21:33:57.857,7205
209,2,09/08/2025,540,506,442,355,346,330,281,260,235,229,216,216,198,181,0,2025-08-09 16:47:17.597,10322
209,2,12/08/2025,455,432,398,364,329,299,285,269,261,251,231,210,203,174,0,2025-08-12 15:29:09.687,7213
209,2,14/08/2025,305,303,237,216,196,190,184,176,167,160,149,139,113,0,0,2025-08-14 20:49:21.650,5403
209,2,16/08/2025,518,517,438,351,325,307,270,262,246,242,239,233,210,180,0,2025-08-16 12:34:33.137,10201
209,2,19/08/2025,334,326,312,297,286,270,261,256,242,218,209,206,201,0,0,2025-08-19 15:05:07.753,5405
209,2,21/08/2025,360,331,312,294,284,279,274,214,209,194,189,186,155,0,0,2025-08-21 20:22:16.600,4205
209,2,26/08/2025,480,445,358,303,252,232,213,197,179,166,165,160,152,0,0,2025-08-26 15:04:40.443,5495
